,Primary School,Primary Distance,Primary Latitude,Primary Longitude
ANG MO KIO AVE 1 BLK 333,TOWNSVILLE PRIMARY SCHOOL,275.1364086,1.3600534,103.8537829
ANG MO KIO AVE 4 BLK 156,MAYFLOWER PRIMARY SCHOOL,389.6661205,1.376395,103.843181
ANG MO KIO AVE 5 BLK 152,MAYFLOWER PRIMARY SCHOOL,348.7504164,1.376395,103.843181
ANG MO KIO AVE 4 BLK 178,CHIJ ST. NICHOLAS GIRLS' SCHOOL,377.3172189,1.3743731,103.8342158
ANG MO KIO AVE 5 BLK 180,CHIJ ST. NICHOLAS GIRLS' SCHOOL,526.3062073,1.3743731,103.8342158
ANG MO KIO AVE 3 BLK 209,ANG MO KIO PRIMARY SCHOOL,381.5973643,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 231,ANG MO KIO PRIMARY SCHOOL,285.882701,1.3693469,103.839815
ANG MO KIO AVE 4 BLK 254,CHIJ ST. NICHOLAS GIRLS' SCHOOL,445.616541,1.3743731,103.8342158
ANG MO KIO AVE 3 BLK 103,ANG MO KIO PRIMARY SCHOOL,189.5499298,1.3693469,103.839815
ANG MO KIO AVE 4 BLK 105,ANG MO KIO PRIMARY SCHOOL,411.2949425,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 344,TECK GHEE PRIMARY SCHOOL,323.8093313,1.365396,103.8505239
ANG MO KIO AVE 3 BLK 324,TECK GHEE PRIMARY SCHOOL,523.7743292,1.365396,103.8505239
ANG MO KIO AVE 3 BLK 120,ANG MO KIO PRIMARY SCHOOL,510.9315515,1.3693469,103.839815
ANG MO KIO AVE 6 BLK 124,ANG MO KIO PRIMARY SCHOOL,576.2833831,1.3693469,103.839815
ANG MO KIO AVE 10 BLK 414,TECK GHEE PRIMARY SCHOOL,376.4030963,1.365396,103.8505239
ANG MO KIO AVE 10 BLK 438,TECK GHEE PRIMARY SCHOOL,408.8570643,1.365396,103.8505239
ANG MO KIO AVE 3 BLK 427,JING SHAN PRIMARY SCHOOL,450.0212213,1.3723262,103.8517128
ANG MO KIO AVE 3 BLK 428,JING SHAN PRIMARY SCHOOL,474.3369078,1.3723262,103.8517128
ANG MO KIO AVE 10 BLK 473,TOWNSVILLE PRIMARY SCHOOL,479.0809402,1.3600534,103.8537829
ANG MO KIO AVE 3 BLK 573,JING SHAN PRIMARY SCHOOL,398.3033909,1.3723262,103.8517128
ANG MO KIO AVE 3 BLK 585,JING SHAN PRIMARY SCHOOL,200.8763927,1.3723262,103.8517128
ANG MO KIO AVE 10 BLK 456,DA QIAO PRIMARY SCHOOL,523.0933001,1.371901,103.858833
ANG MO KIO AVE 10 BLK 544,DA QIAO PRIMARY SCHOOL,355.0649737,1.371901,103.858833
ANG MO KIO AVE 6 BLK 640,MAYFLOWER PRIMARY SCHOOL,409.364724,1.376395,103.843181
ANG MO KIO AVE 6 BLK 638,MAYFLOWER PRIMARY SCHOOL,456.8052765,1.376395,103.843181
ANG MO KIO AVE 6 BLK 646,MAYFLOWER PRIMARY SCHOOL,348.5941139,1.376395,103.843181
ANG MO KIO AVE 5 BLK 150,MAYFLOWER PRIMARY SCHOOL,160.9503085,1.376395,103.843181
ANG MO KIO AVE 5 BLK 179,CHIJ ST. NICHOLAS GIRLS' SCHOOL,370.6366615,1.3743731,103.8342158
ANG MO KIO AVE 1 BLK 336,TECK GHEE PRIMARY SCHOOL,255.3551572,1.365396,103.8505239
ANG MO KIO AVE 1 BLK 335,TECK GHEE PRIMARY SCHOOL,251.013149,1.365396,103.8505239
ANG MO KIO AVE 3 BLK 101,ANG MO KIO PRIMARY SCHOOL,109.3195992,1.3693469,103.839815
ANG MO KIO AVE 10 BLK 401,TOWNSVILLE PRIMARY SCHOOL,209.3318275,1.3600534,103.8537829
ANG MO KIO AVE 10 BLK 439,TECK GHEE PRIMARY SCHOOL,324.8427976,1.365396,103.8505239
ANG MO KIO AVE 3 BLK 430,JING SHAN PRIMARY SCHOOL,381.69289,1.3723262,103.8517128
ANG MO KIO AVE 10 BLK 460,DA QIAO PRIMARY SCHOOL,616.4763061,1.371901,103.858833
ANG MO KIO AVE 10 BLK 459,DA QIAO PRIMARY SCHOOL,538.5239935,1.371901,103.858833
ANG MO KIO AVE 6 BLK 716,MAYFLOWER PRIMARY SCHOOL,624.4313649,1.376395,103.843181
ANG MO KIO AVE 10 BLK 545,DA QIAO PRIMARY SCHOOL,311.5801777,1.371901,103.858833
ANG MO KIO AVE 9 BLK 620,ANDERSON PRIMARY SCHOOL,310.4041243,1.384692,103.841225
ANG MO KIO AVE 9 BLK 622,ANDERSON PRIMARY SCHOOL,334.9875718,1.384692,103.841225
ANG MO KIO AVE 2 BLK 259,CHIJ ST. NICHOLAS GIRLS' SCHOOL,710.2654777,1.3743731,103.8342158
BEDOK RESERVOIR RD BLK 620,DAMAI PRIMARY SCHOOL,306.1894102,1.3358357,103.9202895
BEDOK NTH ST 3 BLK 534,DAMAI PRIMARY SCHOOL,573.2081675,1.3358357,103.9202895
BEDOK STH RD BLK 18,BEDOK GREEN PRIMARY SCHOOL,512.3466538,1.323989,103.937761
BEDOK STH AVE 1 BLK 22,BEDOK GREEN PRIMARY SCHOOL,570.9038118,1.323989,103.937761
NEW UPP CHANGI RD BLK 28,BEDOK GREEN PRIMARY SCHOOL,319.2023742,1.323989,103.937761
NEW UPP CHANGI RD BLK 29,BEDOK GREEN PRIMARY SCHOOL,154.2857662,1.323989,103.937761
NEW UPP CHANGI RD BLK 30,BEDOK GREEN PRIMARY SCHOOL,161.2696278,1.323989,103.937761
BEDOK NTH AVE 4 BLK 105,RED SWASTIKA SCHOOL,226.7132732,1.3332677,103.9346109
BEDOK NTH AVE 4 BLK 104,RED SWASTIKA SCHOOL,221.6774615,1.3332677,103.9346109
BEDOK NTH RD BLK 107,RED SWASTIKA SCHOOL,218.1118617,1.3332677,103.9346109
BEDOK NTH RD BLK 110,RED SWASTIKA SCHOOL,82.21241675,1.3332677,103.9346109
BEDOK STH AVE 3 BLK 69,TEMASEK PRIMARY SCHOOL,299.7447509,1.317502,103.945488
BEDOK STH AVE 2 BLK 33,BEDOK GREEN PRIMARY SCHOOL,192.4270317,1.323989,103.937761
BEDOK NTH RD BLK 75,BEDOK GREEN PRIMARY SCHOOL,650.0553975,1.323989,103.937761
BEDOK NTH RD BLK 76,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,670.8637305,1.334293,103.941092
BEDOK NTH ST 3 BLK 501,FENGSHAN PRIMARY SCHOOL,133.1479912,1.330225,103.931813
BEDOK NTH ST 3 BLK 502,FENGSHAN PRIMARY SCHOOL,171.0488264,1.330225,103.931813
BEDOK NTH ST 3 BLK 503,FENGSHAN PRIMARY SCHOOL,155.8302049,1.330225,103.931813
BEDOK NTH ST 3 BLK 504,FENGSHAN PRIMARY SCHOOL,191.7289302,1.330225,103.931813
BEDOK STH AVE 3 BLK 46,BEDOK GREEN PRIMARY SCHOOL,578.2643713,1.323989,103.937761
BEDOK NTH RD BLK 117,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,493.88749,1.334293,103.941092
BEDOK NTH RD BLK 116,RED SWASTIKA SCHOOL,466.1877249,1.3332677,103.9346109
BEDOK NTH RD BLK 115,RED SWASTIKA SCHOOL,323.3838359,1.3332677,103.9346109
BEDOK NTH RD BLK 125,BEDOK GREEN PRIMARY SCHOOL,567.3731366,1.323989,103.937761
BEDOK NTH RD BLK 124,BEDOK GREEN PRIMARY SCHOOL,601.6928201,1.323989,103.937761
BEDOK NTH ST 2 BLK 128,BEDOK GREEN PRIMARY SCHOOL,434.1819377,1.323989,103.937761
BEDOK NTH ST 2 BLK 129,BEDOK GREEN PRIMARY SCHOOL,400.0152022,1.323989,103.937761
BEDOK NTH ST 2 BLK 138,RED SWASTIKA SCHOOL,425.7053728,1.3332677,103.9346109
BEDOK NTH ST 4 BLK 87,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,326.083073,1.334293,103.941092
BEDOK NTH AVE 4 BLK 100,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,256.9724182,1.334293,103.941092
BEDOK NTH AVE 2 BLK 412,FENGSHAN PRIMARY SCHOOL,149.7201861,1.330225,103.931813
BEDOK NTH AVE 3 BLK 402,FENGSHAN PRIMARY SCHOOL,198.0731879,1.330225,103.931813
BEDOK NTH AVE 3 BLK 401,FENGSHAN PRIMARY SCHOOL,205.7528258,1.330225,103.931813
BEDOK NTH RD BLK 425,FENGSHAN PRIMARY SCHOOL,347.7256213,1.330225,103.931813
BEDOK NTH AVE 2 BLK 416,FENGSHAN PRIMARY SCHOOL,236.5416521,1.330225,103.931813
BEDOK NTH AVE 2 BLK 418,FENGSHAN PRIMARY SCHOOL,286.5416546,1.330225,103.931813
BEDOK NTH AVE 1 BLK 424,FENGSHAN PRIMARY SCHOOL,513.043015,1.330225,103.931813
BEDOK NTH ST 1 BLK 419,FENGSHAN PRIMARY SCHOOL,551.4208413,1.330225,103.931813
BEDOK NTH AVE 3 BLK 136,FENGSHAN PRIMARY SCHOOL,439.9043545,1.330225,103.931813
BEDOK NTH ST 3 BLK 529,YU NENG PRIMARY SCHOOL,601.7469164,1.3338292,103.9318969
BEDOK NTH ST 3 BLK 510,YU NENG PRIMARY SCHOOL,200.2148908,1.3338292,103.9318969
BEDOK NTH ST 3 BLK 525,YU NENG PRIMARY SCHOOL,333.2721313,1.3338292,103.9318969
BEDOK NTH ST 1 BLK 202,FENGSHAN PRIMARY SCHOOL,664.9466662,1.330225,103.931813
BEDOK NTH ST 1 BLK 218,FENGSHAN PRIMARY SCHOOL,404.2624876,1.330225,103.931813
BEDOK NTH ST 1 BLK 213,FENGSHAN PRIMARY SCHOOL,445.3600066,1.330225,103.931813
BEDOK NTH ST 3 BLK 532,DAMAI PRIMARY SCHOOL,575.7571678,1.3358357,103.9202895
BEDOK NTH ST 3 BLK 533,DAMAI PRIMARY SCHOOL,504.8285677,1.3358357,103.9202895
BEDOK NTH ST 3 BLK 536,DAMAI PRIMARY SCHOOL,398.830046,1.3358357,103.9202895
BEDOK NTH ST 3 BLK 537,EAST COAST PRIMARY SCHOOL,524.7826457,1.329414,103.920122
CHAI CHEE ST BLK 44,EAST COAST PRIMARY SCHOOL,609.5205063,1.329414,103.920122
BEDOK NTH ST 3 BLK 540,EAST COAST PRIMARY SCHOOL,291.4030711,1.329414,103.920122
BEDOK RESERVOIR RD BLK 702,DAMAI PRIMARY SCHOOL,236.3550729,1.3358357,103.9202895
BEDOK RESERVOIR RD BLK 615,TELOK KURAU PRIMARY SCHOOL,488.526828,1.3308237,103.911406
BEDOK RESERVOIR RD BLK 712,DAMAI PRIMARY SCHOOL,257.2155977,1.3358357,103.9202895
CHAI CHEE ST BLK 50,EAST COAST PRIMARY SCHOOL,266.5527175,1.329414,103.920122
CHAI CHEE ST BLK 54,EAST COAST PRIMARY SCHOOL,117.3760868,1.329414,103.920122
BEDOK RESERVOIR RD BLK 606,TELOK KURAU PRIMARY SCHOOL,283.2512425,1.3308237,103.911406
BEDOK RESERVOIR RD BLK 616,TELOK KURAU PRIMARY SCHOOL,403.2719,1.3308237,103.911406
CHAI CHEE RD BLK 59,EAST COAST PRIMARY SCHOOL,502.1528445,1.329414,103.920122
CHAI CHEE DR BLK 58,EAST COAST PRIMARY SCHOOL,404.9939912,1.329414,103.920122
CHAI CHEE DR BLK 55,EAST COAST PRIMARY SCHOOL,263.9850044,1.329414,103.920122
BEDOK STH AVE 1 BLK 2,BEDOK GREEN PRIMARY SCHOOL,578.5781723,1.323989,103.937761
CHAI CHEE RD BLK 20,EAST COAST PRIMARY SCHOOL,436.2868373,1.329414,103.920122
CHAI CHEE RD BLK 21,EAST COAST PRIMARY SCHOOL,463.0185142,1.329414,103.920122
BEDOK STH RD BLK 15,BEDOK GREEN PRIMARY SCHOOL,424.7791278,1.323989,103.937761
BEDOK STH AVE 2 BLK 34,BEDOK GREEN PRIMARY SCHOOL,225.6415267,1.323989,103.937761
BEDOK STH AVE 2 BLK 36,BEDOK GREEN PRIMARY SCHOOL,273.9532346,1.323989,103.937761
BEDOK STH AVE 2 BLK 35,BEDOK GREEN PRIMARY SCHOOL,291.2230574,1.323989,103.937761
BEDOK STH RD BLK 41,BEDOK GREEN PRIMARY SCHOOL,458.2960159,1.323989,103.937761
BEDOK STH RD BLK 42,BEDOK GREEN PRIMARY SCHOOL,431.0181468,1.323989,103.937761
NEW UPP CHANGI RD BLK 53,BEDOK GREEN PRIMARY SCHOOL,522.2854453,1.323989,103.937761
NEW UPP CHANGI RD BLK 51,BEDOK GREEN PRIMARY SCHOOL,504.7708321,1.323989,103.937761
BEDOK STH RD BLK 71,TEMASEK PRIMARY SCHOOL,449.9878778,1.317502,103.945488
BEDOK NTH RD BLK 82,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,534.6665852,1.334293,103.941092
BEDOK NTH RD BLK 78,BEDOK GREEN PRIMARY SCHOOL,505.544781,1.323989,103.937761
BEDOK NTH RD BLK 79,BEDOK GREEN PRIMARY SCHOOL,535.394417,1.323989,103.937761
BEDOK NTH RD BLK 80,BEDOK GREEN PRIMARY SCHOOL,601.6454128,1.323989,103.937761
BEDOK NTH ST 2 BLK 134,BEDOK GREEN PRIMARY SCHOOL,496.8570444,1.323989,103.937761
BEDOK NTH ST 2 BLK 126,BEDOK GREEN PRIMARY SCHOOL,487.0419128,1.323989,103.937761
BEDOK NTH ST 2 BLK 130,BEDOK GREEN PRIMARY SCHOOL,365.8878423,1.323989,103.937761
BEDOK NTH ST 2 BLK 132,BEDOK GREEN PRIMARY SCHOOL,431.3073435,1.323989,103.937761
BEDOK NTH AVE 3 BLK 131,BEDOK GREEN PRIMARY SCHOOL,396.7356281,1.323989,103.937761
BEDOK NTH AVE 3 BLK 133,BEDOK GREEN PRIMARY SCHOOL,451.9254859,1.323989,103.937761
BEDOK NTH RD BLK 121,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,581.708664,1.334293,103.941092
BEDOK NTH ST 4 BLK 89,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,381.7900792,1.334293,103.941092
NEW UPP CHANGI RD BLK 62,BEDOK GREEN PRIMARY SCHOOL,260.120505,1.323989,103.937761
BEDOK NTH RD BLK 422,FENGSHAN PRIMARY SCHOOL,353.2820579,1.330225,103.931813
BEDOK NTH RD BLK 427,FENGSHAN PRIMARY SCHOOL,511.5592522,1.330225,103.931813
BEDOK NTH AVE 3 BLK 507,YU NENG PRIMARY SCHOOL,123.2267907,1.3338292,103.9318969
BEDOK NTH AVE 3 BLK 508,YU NENG PRIMARY SCHOOL,74.75901969,1.3338292,103.9318969
BEDOK NTH AVE 2 BLK 517,FENGSHAN PRIMARY SCHOOL,312.9364218,1.330225,103.931813
BEDOK NTH AVE 4 BLK 95,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,101.0271665,1.334293,103.941092
BEDOK NTH AVE 4 BLK 93,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,157.6319602,1.334293,103.941092
CHAI CHEE ST BLK 43,EAST COAST PRIMARY SCHOOL,608.7967455,1.329414,103.920122
BEDOK NTH AVE 3 BLK 404,FENGSHAN PRIMARY SCHOOL,254.4641472,1.330225,103.931813
BEDOK NTH AVE 3 BLK 403,FENGSHAN PRIMARY SCHOOL,230.3527691,1.330225,103.931813
BEDOK NTH ST 3 BLK 543,EAST COAST PRIMARY SCHOOL,342.9060349,1.329414,103.920122
BEDOK NTH ST 3 BLK 547,EAST COAST PRIMARY SCHOOL,567.5253008,1.329414,103.920122
BEDOK NTH RD BLK 708,DAMAI PRIMARY SCHOOL,148.2805055,1.3358357,103.9202895
BEDOK NTH RD BLK 707,DAMAI PRIMARY SCHOOL,123.8028431,1.3358357,103.9202895
BEDOK RESERVOIR RD BLK 622,DAMAI PRIMARY SCHOOL,443.8931656,1.3358357,103.9202895
BEDOK RESERVOIR RD BLK 713,DAMAI PRIMARY SCHOOL,260.6242204,1.3358357,103.9202895
BEDOK RESERVOIR RD BLK 609,TELOK KURAU PRIMARY SCHOOL,220.3323074,1.3308237,103.911406
CHAI CHEE RD BLK 61,EAST COAST PRIMARY SCHOOL,480.8295351,1.329414,103.920122
CHAI CHEE DR BLK 56,EAST COAST PRIMARY SCHOOL,339.2068701,1.329414,103.920122
BEDOK RESERVOIR RD BLK 718,DAMAI PRIMARY SCHOOL,617.4008445,1.3358357,103.9202895
BEDOK STH AVE 2 BLK 8,BEDOK GREEN PRIMARY SCHOOL,225.2697334,1.323989,103.937761
BEDOK RESERVOIR RD BLK 724,YU NENG PRIMARY SCHOOL,535.6342886,1.3338292,103.9318969
BEDOK STH RD BLK 165,TEMASEK PRIMARY SCHOOL,317.1340206,1.317502,103.945488
BEDOK STH AVE 3 BLK 166,TEMASEK PRIMARY SCHOOL,281.1098797,1.317502,103.945488
NEW UPP CHANGI RD BLK 54,BEDOK GREEN PRIMARY SCHOOL,541.4636782,1.323989,103.937761
BEDOK STH AVE 3 BLK 72,TEMASEK PRIMARY SCHOOL,374.7152801,1.317502,103.945488
BEDOK STH AVE 2 BLK 31,BEDOK GREEN PRIMARY SCHOOL,111.9099068,1.323989,103.937761
BEDOK NTH RD BLK 111,RED SWASTIKA SCHOOL,202.477304,1.3332677,103.9346109
BEDOK NTH ST 2 BLK 120,RED SWASTIKA SCHOOL,495.6603556,1.3332677,103.9346109
BEDOK NTH ST 2 BLK 118,RED SWASTIKA SCHOOL,447.2260669,1.3332677,103.9346109
BEDOK NTH AVE 3 BLK 505,RED SWASTIKA SCHOOL,208.3883096,1.3332677,103.9346109
BEDOK NTH AVE 4 BLK 96,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,146.0372599,1.334293,103.941092
BEDOK NTH AVE 2 BLK 417,FENGSHAN PRIMARY SCHOOL,330.8204885,1.330225,103.931813
BEDOK NTH AVE 3 BLK 137,FENGSHAN PRIMARY SCHOOL,444.534502,1.330225,103.931813
BEDOK NTH AVE 3 BLK 139,FENGSHAN PRIMARY SCHOOL,416.4496042,1.330225,103.931813
BEDOK RESERVOIR RD BLK 710,DAMAI PRIMARY SCHOOL,388.6042602,1.3358357,103.9202895
BEDOK RESERVOIR RD BLK 613,EAST COAST PRIMARY SCHOOL,475.7505462,1.329414,103.920122
BEDOK RESERVOIR RD BLK 602,TELOK KURAU PRIMARY SCHOOL,165.7500619,1.3308237,103.911406
BEDOK RESERVOIR RD BLK 603,TELOK KURAU PRIMARY SCHOOL,140.6003802,1.3308237,103.911406
BEDOK RESERVOIR RD BLK 605,TELOK KURAU PRIMARY SCHOOL,244.6230439,1.3308237,103.911406
CHAI CHEE RD BLK 1,EAST COAST PRIMARY SCHOOL,308.0152419,1.329414,103.920122
BEDOK RESERVOIR RD BLK 722,YU NENG PRIMARY SCHOOL,522.15872,1.3338292,103.9318969
BEDOK RESERVOIR RD BLK 112,TELOK KURAU PRIMARY SCHOOL,169.2298174,1.3308237,103.911406
